sample	mean_detP	frac_detP_fail	mMed	uMed	xMed	yMed	predicted_sex	reported_sex	slide	array_pos	qc_pass
GSM3853168	0.000163536482342049	0.0005945248303584	11.9311068330293	11.0593444608244	12.3899001727731	12.6797000057692	M	M	200932680028	R01C01	TRUE
GSM3853169	0.000180835649722224	0.000574899738870841	12.0566377151132	11.1350679457778	12.4459201213823	12.6553071015105	M	M	200932680028	R02C01	TRUE
GSM3853170	0.000170591463274914	0.000576054156017168	12.0738068471785	11.047123912114	12.4518550226523	12.7488217946147	M	M	200932680028	R03C01	TRUE
GSM3853171	0.000170264739636447	0.000527568635871435	12.1199137854523	10.9410476063406	12.454042174558	12.7496599616918	M	M	200932680028	R04C01	TRUE
GSM3853172	0.000286744921353119	0.00127678536383765	11.9173720794768	10.9314762338868	12.3496958360827	12.6575417597034	M	M	200932680028	R05C01	TRUE
GSM3853173	0.000169624206484288	0.000551811395944302	12.1671044823799	11.0223678130285	12.5148373087343	12.8053408284164	M	M	200932680028	R06C01	TRUE
GSM3853174	0.000154152952758752	0.000536803973042051	12.12153351734	11.0327345285867	12.5148373087343	12.8119766943703	M	M	200932680028	R07C01	TRUE
GSM3853175	0.000162621095723124	0.000604914584675343	12.2018176166679	11.1541852092653	12.5427900412952	12.8354583182366	M	M	200932680028	R08C01	TRUE
GSM3853215	0.000278831673057617	0.00110477720903493	11.677719641641	11.0112272554233	12.2807707701306	12.5639112445817	M	M	200934330012	R01C01	TRUE
GSM3853216	0.00025304602284333	0.000931614637085882	11.8525295094042	11.1350679457778	12.3799198176465	12.7105912185068	M	M	200934330012	R02C01	TRUE
GSM3853217	0.000201029470367461	0.00072497396789335	12.0265234425198	11.116993677547	12.4603278956846	12.7521715451624	M	M	200934330012	R03C01	TRUE
GSM3853218	0.000281844560630109	0.000896982122696072	12.1186166893515	11.2502984179063	12.543394377301	12.8121773055144	M	M	200934330012	R04C01	TRUE
GSM3853219	0.000209469093960132	0.000709966544991099	12.1617617433047	11.1630206395808	12.5864879778588	12.8726748802706	M	M	200934330012	R05C01	TRUE
GSM3853220	0.000169061096064235	0.000631466179040864	12.1068900450922	11.1006623390052	12.5234394341849	12.7799245019679	M	M	200934330012	R06C01	TRUE
GSM3853221	0.000163450397913212	0.000597988081797381	12.0950673016071	11.1039434298916	12.5364900731992	12.8560363998192	M	M	200934330012	R07C01	TRUE
GSM3853222	0.000215406590474401	0.000798856665258278	12.0593444608244	11.0967151544885	12.4976023867835	12.8320988460391	M	M	200934330012	R08C01	TRUE
