sample_id	CD8T	CD4T	NK	Bcell	Mono	Neu
GSM3853168	0.030603232	0.095980494	0.018524824	0.016805619	0.037759463	0.800326367
GSM3853169	0.105020156	0.131169124	0.024064619	0.027666805	0.107933582	0.604145715
GSM3853170	0.135173157	0.228868165	0.043737409	0.047396472	0.117843196	0.426981601
GSM3853171	0.123321742	0.202289798	0.040996763	0.088279785	0.044945145	0.500166768
GSM3853172	0.173729362	0.312161335	0.078458332	0.084649472	0.089544006	0.261457493
GSM3853173	0.154377226	0.213496896	0.030906003	0.109826251	0.089803675	0.401589948
GSM3853174	0.037986207	0.111077702	0.034366007	0.053077917	0.053127179	0.710364989
GSM3853175	0.103204686	0.259782574	0.047356719	0.051297308	0.120099896	0.418258817
GSM3853215	0.072334702	0.214828956	0.036940186	0.103001034	0.073343856	0.499551265
GSM3853216	0.147276633	0.118040717	0.060823552	0.073523823	0.095173183	0.505162093
GSM3853217	0.092014722	0.19272704	0.026129663	0.052206504	0.042921106	0.594000965
GSM3853218	0.215080315	0.088464894	0.069519019	0.03062932	0.272558187	0.323748265
GSM3853219	0.067745101	0.081680214	0.022487933	0.038730829	0.062278194	0.72707773
GSM3853220	0.043409432	0.092576466	0.036834194	0.035625521	0.07552912	0.716025266
GSM3853221	0.031236832	0.055228325	0.012929607	0.019331441	0.043130118	0.838143677
GSM3853222	0.080445691	0.186837377	0.021218171	0.044185041	0.066501003	0.600812717
GSM3853223	0.104067915	0.18413563	0.020325507	0.100214059	0.140909693	0.450347195
GSM3853224	0.150285392	0.162969321	0.041918022	0.114347173	0.129620257	0.400859836
GSM3853225	0.186733576	0.195308643	0.078718347	0.07119705	0.083556511	0.384485873
GSM3853226	0.083070154	0.095770183	0.078073433	0.045781393	0.102321717	0.59498312
GSM3853227	0.055016641	0.19513086	0.027173825	0.100823854	0.08389975	0.53795507
GSM3853228	0.094120626	0.106637041	0.066374805	0.045266586	0.075653472	0.61194747
GSM3853229	0.090115802	0.102807788	0.089510782	0.030840158	0.124126053	0.562599417
GSM3853230	0.068964424	0.096595946	0.035373312	0.035206871	0.063360118	0.700499328
GSM3853231	0.114543275	0.136011955	0.056299612	0.059668465	0.095782865	0.537693828
GSM3853232	0.072509483	0.117652372	0.058853274	0.071430664	0.100212947	0.57934126
GSM3853233	0.190247439	0.284938902	0.062369374	0.093446915	0.079427948	0.289569421
GSM3853234	0.10053986	0.215991736	0.035655623	0.064929401	0.08438306	0.498500319
GSM3853235	0.031225789	0.111082349	0.050318153	0.029172021	0.092249742	0.685951945
GSM3853236	0.093210977	0.111905766	0.013282849	0.029677225	0.084934773	0.66698841
GSM3853237	0.070526444	0.116637499	0.030429632	0.080811742	0.078264519	0.623330165
GSM3853238	0.13471722	0.239145095	0.0416598	0.036774101	0.152882163	0.394821621
GSM3853247	0.083193548	0.304756401	0.059178423	0.069976455	0.113891375	0.369003798
GSM3853248	0.023821877	0.040902202	0.026275868	0.019058987	0.037732296	0.85220877
GSM3853249	0.047175269	0.126574286	0.024837883	0.065788859	0.106202473	0.629421229
GSM3853250	0.086255498	0.203186702	0.07380343	0.073735012	0.110708989	0.452310369
GSM3853251	0.106265425	0.135687316	0.049171296	0.057884288	0.092797507	0.558194168
GSM3853252	0.183763666	0.14054451	0.058645426	0.057556763	0.076468355	0.483021281
GSM3853253	0.512660626	0.018758418	0.127159578	0.068783251	0.090233117	0.18240501
GSM3853254	0.099401976	0.25860368	0.037464241	0.087263511	0.119819394	0.397447198
GSM3853328	0.088997605	0.257795606	0.04321036	0.031448221	0.103153856	0.475394352
GSM3853329	0.149456224	0.056492724	0.074989029	0.037133566	0.167901731	0.514026725
GSM3853330	0.148529701	0.082680905	0.068515236	0.049743962	0.065598834	0.584931363
GSM3853331	0.061402046	0.062480739	0.024954099	0.043467184	0.060106744	0.747589187
GSM3853332	0.087026154	0.128362082	0.021179238	0.057855799	0.058781739	0.646794988
GSM3853333	0.074267075	0.108863174	0.015960322	0.038505778	0.073218614	0.689185038
GSM3853334	0.050221881	0.201403599	0.037574545	0.063935627	0.101434746	0.545429602
GSM3853335	0.313218103	0.03518695	0.066398285	0.100898943	0.112830325	0.371467395
GSM3853390	0.061804943	0.135094844	0.043038402	0.026233753	0.073335651	0.660492406
GSM3853391	0.100258802	0.111351846	0.027837037	0.045755828	0.049503436	0.665293053
GSM3853392	0.160128006	0.164311449	0.014123941	0.088305312	0.05697412	0.516157171
GSM3853393	0.088161934	0.230690579	0.043019709	0.070517601	0.134035267	0.43357491
GSM3853394	0.162757979	0.139723224	0.046307177	0.046778119	0.097124518	0.507308982
GSM3853395	0.056152069	0.12375991	0.026698393	0.040149385	0.048781115	0.704459129
GSM3853396	0.142861547	0.284542147	0.038054131	0.067292626	0.113289858	0.35395969
GSM3853397	0.107885817	0.158801653	0.064774711	0.065287755	0.102382333	0.500867729
GSM3853432	0.141105253	0.124878955	0.042152333	0.072614554	0.053213661	0.566035244
GSM3853433	0.132640471	0.096623258	0.013251207	0.021223491	0.061146839	0.675114734
GSM3853434	0.189080457	0.163086966	0.042023922	0.104566547	0.057788099	0.44345401
GSM3853435	0.122879835	0.179698608	0.049605461	0.062281636	0.05456174	0.530972719
GSM3853436	0.050730527	0.108581697	0.048805414	0.033674509	0.074044856	0.684162997
GSM3853437	0.094284451	0.12531876	0.030562294	0.041288989	0.0626809	0.645864607
GSM3853438	0.08897938	0.134859638	0.030187357	0.033344714	0.056342997	0.656285914
GSM3853439	0.155641267	0.187714439	0.025557582	0.051176306	0.063280797	0.516629609
GSM3853547	0.075471144	0.075948038	0.027063843	0.020144674	0.058912446	0.742459855
GSM3853548	0.131323336	0.169446716	0.009261559	0.084101691	0.044628941	0.561237758
GSM3853549	0.154699296	0.129794725	0.031805516	0.045300813	0.071951743	0.566447908
GSM3853550	0.09557505	0.138541192	0.033825365	0.05869901	0.065592138	0.607767246
GSM3853551	0.0935668	0.089317839	0.049422003	0.034453483	0.086434993	0.646804882
GSM3853552	0.165205344	0.265388897	0.013858033	0.038952314	0.055889686	0.460705725
GSM3853553	0.10506467	0.155087927	0.024003631	0.057707668	0.075806925	0.582329179
GSM3853554	0.10921474	0.31195764	0.021006719	0.083082491	0.046206093	0.428532318
GSM3853588	0.089784571	0.184189287	0.033713145	0.083331013	0.070213659	0.538768324
GSM3853589	0.039093309	0.110850078	0.040634005	0.046582904	0.041615001	0.721224702
GSM3853590	0.106053709	0.231970345	0.053577878	0.041553148	0.116882383	0.449962537
GSM3853591	0.151497445	0.199926547	0.039435666	0.081782758	0.07619233	0.451165255
