"SV","pve_marginal","pve_sequential","r2_slide","r2_position","r2_smoke","r2_ptsd"
1,0.363,0.363,0.133,0.098,0.027,0.001
2,0.957,0.957,0.045,0.112,0.076,0.001
3,0.975,0.975,0.076,0.116,0.13,0.002
4,0.601,0.601,0.406,0.058,0.155,0.041
5,0.896,0.896,0.57,0.028,0.014,0.002
6,1.109,1.109,0.23,0.255,0,0.03
7,1.154,1.154,0.173,0.141,0.043,0.006
8,1.555,1.555,0.2,0.077,0.002,0.002
9,1.487,1.487,0.068,0.124,0,0.002
10,1.192,1.192,0.063,0.07,0.019,0.007
11,1.389,1.389,0.131,0.134,0.007,0.037
12,1.562,1.562,0.04,0.062,0.02,0.012
13,1.339,1.339,0.034,0.051,0.098,0.014
14,1.299,1.299,0.046,0.143,0.007,0.025
15,1.2,1.2,0.091,0.073,0.038,0.001
