sv,k,pve,chip,arraypos,smoking,PTSD,tech,capture,rank
SV4,4,2.65198301172917,0.880209714205374,0.010158107752911,0.00196661858259749,0.000219196685797477,0.880209714205374,0.880209714205374,1
SV7,7,2.46595154885674,0.669358038061995,0.195859429342834,0.0255676696816696,0.00136282144540304,0.669358038061995,0.669358038061995,2
SV6,6,2.37820658590959,0.6365791972845,0.11822665065516,0.00080170165735588,0.00261082329518312,0.6365791972845,0.6365791972845,3
SV8,8,2.23664677641569,0.472409448573033,0.0824264338010318,0.000259393952826499,0.0502633050683214,0.472409448573033,0.472409448573033,4
SV14,14,1.62028856454021,0.341553219396003,0.0643035047124958,0.0490502139773797,0.00965040167774413,0.341553219396003,0.341553219396003,5
SV12,12,1.72540936942423,0.325876024467247,0.0484193410879021,0.0202434131985499,0.00569474305252589,0.325876024467247,0.325876024467247,6
SV10,10,1.5494759518383,0.294332781859224,0.0777929465291675,0.000216568426985246,0.00403813790371836,0.294332781859224,0.294332781859224,7
SV5,5,2.01057160364298,0.280411471036493,0.0686701597803106,0.157466758110927,0.0308360342099435,0.280411471036493,0.280411471036493,8
SV11,11,1.24754451180528,0.239193490650292,0.0743987762963041,0.0552348606200869,0.0203861979786851,0.239193490650292,0.239193490650292,9
SV15,15,1.38553669184984,0.180311825332799,0.140446381127842,0.0726134329706977,0.00703769563274112,0.180311825332799,0.180311825332799,10
SV1,1,1.93278873965403,0.149345467972903,0.104997991297058,0.0313462579037452,0.00117213597599072,0.149345467972903,0.149345467972903,11
SV3,3,2.92859082171258,0.148333579060074,0.114696448684379,0.120852581972839,0.000484829821918726,0.148333579060074,0.148333579060074,12
SV13,13,1.5767494026906,0.135740523307354,0.0620804725007938,0.00223517981021667,0.000458204718538714,0.135740523307354,0.135740523307354,13
SV9,9,1.84317278632937,0.134523538735899,0.0886786750122762,0.00211219144785747,0.0152670577752991,0.134523538735899,0.134523538735899,14
SV2,2,4.50732265876556,0.060587820183009,0.113752190817627,0.0853433927854711,0.00106210639803849,0.113752190817627,0.113752190817627,15
