ordering,k,tech_pct,smk_pct
SV index,1,2.98575655242733,5.0129129741131
SV index,2,5.25992230848708,18.6610811944736
SV index,3,8.22544889349179,37.9879009375833
SV index,4,25.8228487836292,38.3024037990766
SV index,5,31.4289136906333,63.4845852623218
SV index,6,44.1555838415882,63.6127938877937
SV index,7,57.5375777861658,67.7015914552305
SV index,8,66.9821201994745,67.7430738967877
SV index,9,69.6715525785628,68.0808568610346
SV index,10,75.5559362425505,68.115490617981
SV index,11,80.3379597060054,76.9486837307283
SV index,12,86.8529647378862,80.1860229045127
SV index,13,89.5667274144234,80.5434742438247
SV index,14,96.3951553316287,88.3876148358298
SV index,15,100,100
technical R2,1,17.5973998901374,0.314502861493301
technical R2,2,30.9793938347151,4.4033004289301
technical R2,3,43.7060639856699,4.53150905440201
technical R2,4,53.1506063989786,4.57299149595926
technical R2,5,59.979034316184,12.4171320879644
technical R2,6,66.4940393480647,15.6544712617488
technical R2,7,72.3784230120524,15.6891050186952
technical R2,8,77.9844879190565,40.8712864819404
technical R2,9,82.7665113825114,49.7044795946877
technical R2,10,86.3713560508827,61.3168647588579
technical R2,11,89.35711260331,66.329777732971
technical R2,12,92.3226391883147,85.6565974760807
technical R2,13,95.0364018648519,86.0140488153926
technical R2,14,97.7258342439403,86.3518317796395
technical R2,15,100,100
combined rank,1,5.6060649070041,25.1821814632452
combined rank,2,23.2034647971415,25.4966843247385
combined rank,3,26.1689913821462,44.8235040678482
combined rank,4,39.5509853267239,48.912301635285
combined rank,5,52.2776554776787,49.0405102607569
combined rank,6,59.1060833948841,56.8846508527621
combined rank,7,61.3802491509439,70.5328190731225
combined rank,8,64.9850938193152,82.1452042372927
combined rank,9,69.7671172827701,90.97839735004
combined rank,10,79.2116596960787,91.0198797915973
combined rank,11,85.7266647279595,94.2572189653816
combined rank,12,88.7124212803869,99.2701319394948
combined rank,13,94.5968049443745,99.3047656964412
combined rank,14,97.3105676209117,99.6622170357531
combined rank,15,100,100
