k,sv,pve,cum,share,cum_share
1,SV1,1.93278873965403,1.93278873965403,6.02861612521659,6.02861612521659
2,SV2,4.50732265876556,6.44011139841959,14.058917824124,20.0875339493406
3,SV3,2.92859082171258,9.36870222013217,9.13465061634107,29.2221845656817
4,SV4,2.65198301172917,12.0206852318613,8.27187535828294,37.4940599239646
5,SV5,2.01057160364298,14.0312568355043,6.27123086033414,43.7652907842987
6,SV6,2.37820658590959,16.4094634214139,7.41793155080013,51.1832223350989
7,SV7,2.46595154885674,18.8754149702706,7.6916193510635,58.8748416861624
8,SV8,2.23664677641569,21.1120617466863,6.97638833777922,65.8512300239416
9,SV9,1.84317278632937,22.9552345330157,5.74909246585048,71.6003224897921
10,SV10,1.5494759518383,24.504710484854,4.83301434721717,76.4333368370092
11,SV11,1.24754451180528,25.7522549966593,3.89125143710275,80.324588274112
12,SV12,1.72540936942423,27.4776643660835,5.38177325524602,85.706361529358
13,SV13,1.5767494026906,29.0544137687741,4.9180837405891,90.6244452699471
14,SV14,1.62028856454021,30.6747023333143,5.05388797403674,95.6783332439838
15,SV15,1.38553669184984,32.0602390251642,4.32166675601617,100
