Knowledgebase,Feature,log2(OR),Query CpGs,DB size,p,FDR
chromHMM,1_TssA,0.49,229,131945,6.73e-06,0.00328
TFBSconsensus,ING2,0.55,170,92693,7.59e-06,0.00328
TFBSconsensus,RBL1,0.49,192,109245,2.28e-05,0.00553
TFBSconsensus,ING5,0.5,180,101596,2.82e-05,0.00553
TFBSconsensus,ZNF547,1.1,37,13355,3.2e-05,0.00553
TFBSconsensus,UHRF2,0.64,93,46736,7.46e-05,0.0107
TFBSconsensus,HMGN3,0.55,121,65192,0.000116,0.0131
TFBSconsensus,TRAF7,0.65,85,42409,0.000121,0.0131
TFBSconsensus,RAG2,0.43,196,115584,0.00014,0.0134
HMconsensus,H3K36me2,0.95,39,15602,0.000167,0.0144
HMconsensus,H3K4me3B,0.54,114,61523,0.000197,0.0154
TFBSconsensus,ZNF600,0.46,151,86776,0.000313,0.0225
TFBSconsensus,ZNF146,1.1,25,8960,0.000522,0.0323
TFBSconsensus,SMAD2/3,0.87,38,16020,0.000537,0.0323
TFBSconsensus,FAM208A,0.51,107,58729,0.000561,0.0323
HMconsensus,H3K23ac,1.04,27,10103,0.000608,0.0328
TFBSconsensus,TAF3,0.49,112,62348,0.000682,0.0346
TFBSconsensus,TGIF2,0.57,81,42477,0.000762,0.0351
TFBSconsensus,SUMO2,1.28,18,5693,0.000774,0.0351
TFBSconsensus,MGEA5,0.44,132,76170,0.000905,0.0385
TFBSconsensus,CTBP2,0.54,86,45991,0.000938,0.0385
TFBSconsensus,KDM4C,0.48,104,58001,0.00113,0.0401
TFBSconsensus,TBL1X,0.52,89,48334,0.00121,0.0401
TFBSconsensus,POLR3D,1.28,16,5032,0.00139,0.0401
TFBSconsensus,MCRS1,0.6,65,33268,0.0014,0.0401
TFBSconsensus,PSIP1,0.46,110,62378,0.00141,0.0401
TFBSconsensus,ZNF335,0.36,190,116858,0.00141,0.0401
TFBSconsensus,BRPF3,0.55,76,40252,0.00143,0.0401
TFBSconsensus,ZBTB8A,0.42,130,75941,0.00155,0.0401
TFBSconsensus,MBD4,0.46,105,59295,0.00159,0.0401
TFBSconsensus,EGR3,0.39,157,94368,0.00159,0.0401
TFBSconsensus,KDM4A,0.54,76,40432,0.0016,0.0401
HMconsensus,H3K9me2,1.05,22,8134,0.00161,0.0401
HMconsensus,H1.4,0.57,69,35991,0.00161,0.0401
TFBSconsensus,SOX4,0.47,100,56061,0.00164,0.0401
TFBSconsensus,TFAP4,1.1,20,7123,0.00167,0.0401
TFBSconsensus,ARID2,0.42,130,76231,0.00177,0.0413
TFBSconsensus,VDR,1.08,20,7240,0.00201,0.0447
TFBSconsensus,KAT7,0.48,92,51183,0.00202,0.0447
TFBSconsensus,L3MBTL2,0.36,169,103324,0.00212,0.0457
TFBSconsensus,ZNF692,0.41,124,72783,0.00234,0.0493
