CpG,hg38 position (chr6),GENCODE feature,CGI context,Δβ (case − control),BACON p
cg07017437,"28,633,493",Promoter,N_Shore,-0.022,3e-04
cg25653641,"28,633,534",Promoter,N_Shore,-0.056,1.69e-05
cg22572476,"28,633,546",Promoter,N_Shore,-0.056,0.000215
cg19488431,"28,633,551",Promoter,N_Shore,-0.053,3.23e-05
cg27535677,"28,633,587",Promoter,N_Shore,-0.035,0.00145
cg22497095,"28,633,597",Promoter,N_Shore,-0.041,0.000745
cg26865747,"28,633,599",Promoter,N_Shore,-0.042,0.000208
cg03759229,"28,633,639",Promoter,N_Shore,-0.038,0.00232
cg13565129,"28,633,641",Promoter,N_Shore,-0.041,0.000389
cg14654363,"28,633,665",Promoter,N_Shore,-0.026,0.00309
cg00990380,"28,633,699",Promoter,N_Shore,-0.024,0.00123
