probe,logFC,delta_beta,AveExpr,t,P.Value,adj.P.Val,B,bacon.p,bacon.es,bacon.se,bacon.adj.P,CpG_chrm,CpG_beg,CpG_end,genesUniq,transcriptTypes,distTSS,island,feature,BIOS_eQTM_genes,BIOS_eQTM_minFDR
cg26713179,-0.276209532254108,-0.0328342584348801,1.26673710385603,-4.630093308344,1.73833254670869e-05,0.988430281936783,2.12780859658754,4.00780182418571e-06,-0.276407261713429,0.0599454822492962,0.275536739758388,chr19,52269117,52269119,ZNF766,protein_coding;protein_coding;protein_coding;protein_coding,-469,N_Shore,Promoter,ZNF528;ZNF528-AS1;ZNF880,0
cg12218747,0.352451416573207,0.0459575044175519,1.66885317015916,4.31153273112706,5.46308989558333e-05,0.988430281936783,1.25380957409524,1.80807534584199e-05,0.352180466025858,0.0821438610226485,0.408656534174377,chr21,36079367,36079369,CBR1-AS1;SETD4,lncRNA;protein_coding,22,OpenSea,Promoter,CBR1,0
cg09138671,0.302431615385339,0.0451124937667425,-1.78571906370583,4.02194911139742,0.000149458763634731,0.988430281936783,0.48523017567307,6.35622620323787e-05,0.302182378062574,0.07556108006856,0.503466725099994,chr1,19799352,19799354,TMCO4,processed_transcript;processed_transcript;protein_coding;protein_coding,-8,N_Shore,Promoter,TMCO4,0.000232
cg25535873,0.173430081176828,0.0140647625474752,2.69694568985993,3.86191147896464,0.000256652333601307,0.988430281936783,0.0725658888842728,0.000123075736798578,0.173281232639225,0.0451262922549493,0.54797884950041,chr6,33005528,33005530,HLA-DOA,protein_coding,4063,N_Shelf,Gene body,HLA-DOA,0.028856816
cg08632701,0.433693682207231,0.0430838851165556,2.59480974758329,3.82417842762622,0.000291053588116496,0.988430281936783,-0.0233758349055027,0.00014332022843987,0.433317786463679,0.113960012332389,0.552739064668312,chr21,36079550,36079552,CBR1-AS1;SETD4,lncRNA;protein_coding,-161,OpenSea,Promoter,CBR1,0
cg27530239,-0.261025565866774,-0.0194193709633012,-2.1704047067202,-3.61311465491007,0.000580907028834133,0.988430281936783,-0.549898443769459,0.000319539081010755,-0.261265020785428,0.0725953564278785,0.593856861507979,chr17,48831711,48831713,CALCOCO2,nonsense_mediated_decay;processed_transcript;processed_transcript;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;retained_intron;retained_intron;retained_intron,484,S_Shore,Promoter,CALCOCO2,0.013677017
cg19351838,0.139319270234275,0.021525906105355,-0.174765961754487,3.59172602939205,0.000622288999836211,0.988430281936783,-0.6022568472443,0.000355566747734284,0.139190702956471,0.0389776389208445,0.609745370840816,chr12,131848795,131848797,MMP17,nonsense_mediated_decay;nonsense_mediated_decay;protein_coding;protein_coding;retained_intron;retained_intron;retained_intron,3835,N_Shore,Gene body,MMP17,0
cg26246807,-0.190274726126524,-0.00208789384160938,-5.02617326648959,-3.58202067789679,0.000641977934392636,0.988430281936783,-0.625952458915969,0.000359746032501182,-0.190450792117962,0.0533777859943663,0.611366959157419,chr19,57584290,57584292,ZIK1,processed_transcript;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,31,Island,Promoter,ZNF154;ZNF772,0.001736794
cg11947245,0.295915044552245,0.0264689071930976,2.6493548609464,3.52338981225888,0.000774109819432538,0.988430281936783,-0.768257531175437,0.000459989916817035,0.295636670461832,0.0843944506440433,0.636106006007891,chr13,28754841,28754843,,,,OpenSea,Intergenic,SLC46A3,0.005988732
cg05281708,-0.208572618381869,-0.00396429771328406,-3.22977208613521,-3.43887250558818,0.00101069449722321,0.988430281936783,-0.970796492125018,0.00061361630113096,-0.208773649680437,0.060946498216459,0.657770271648911,chr3,44649180,44649182,ZKSCAN7-AS1;ZNF35,lncRNA;lncRNA;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,436,S_Shore,Promoter,ZNF35,0.035006326
cg05226462,-0.174717951840269,-0.0219695798575385,-0.593358421495782,-3.41952011554406,0.00107376910776017,0.988430281936783,-1.01673225193302,0.000658583180126133,-0.174887305593821,0.0513428421960643,0.661426545223862,chr16,3112451,3112453,ZNF205;ZNF213-AS1,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;lncRNA;lncRNA;lncRNA;lncRNA;lncRNA;lncRNA,38,OpenSea,Promoter,ZNF205,0
cg01947224,-0.227138126255439,-0.00750307870181516,-4.06249080424401,-3.38176841383793,0.0012076745421907,0.988430281936783,-1.1058601010506,0.000755247736870084,-0.227360748539909,0.067492220167175,0.68897087606241,chr19,57578516,57578518,ZIK1;ZNF416,processed_transcript;protein_coding,61,Island,Promoter,ZIK1;ZNF134;ZNF154;ZNF211;ZNF304;ZNF416;ZNF419;ZNF530;ZNF547;ZNF549;ZNF551;ZNF671;ZNF772;ZNF773,0
cg15611912,-0.199283906869778,-0.019778461998019,-0.0205792246232259,-3.33141141324294,0.00141096035755911,0.988430281936783,-1.22374325730538,0.000904756142926105,-0.199482181166967,0.0601106603104176,0.714219976872662,chr10,119541344,119541346,RGS10,protein_coding,1375,N_Shore,Promoter,RGS10,0.001584577
cg26410105,0.270671992119189,0.00543674997104232,-5.31353762861878,3.32625546763588,0.00143350449227579,0.988430281936783,-1.23574749421857,0.000943498953454244,0.27040227396587,0.0817702371090426,0.719743252380104,chr3,39384283,39384285,ENSG00000287780;SLC25A38,lncRNA;nonsense_mediated_decay;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,17,Island,Promoter,SLC25A38,0.00606878
cg13155648,0.185288866683732,0.0207664035427954,1.93228430224909,3.31844348298399,0.00146830983437182,0.988430281936783,-1.25391221443238,0.000970021584420453,0.18510379611519,0.05610769644293,0.720734253233183,chr20,58229723,58229725,ANKRD60;PPP4R1L,protein_coding;processed_transcript;processed_transcript,-1070,S_Shore,Promoter,PPP4R1L,0.000723
