probe,chr,pos,gene,distToTSS,feature,island,Δβ (pp),BACON p,BACON FDR
cg15434749,chr8,6391843,-,,Intergenic,OpenSea,-2.59,2.01e-07,0.0904
cg20600436,chr2,180911725,SCHLAP1,219622,Gene body,OpenSea,1.41,2.39e-07,0.0904
cg25717994,chr13,77919495,EDNRB;OBI1-AS1,-12,Promoter,S_Shore,0.59,3.76e-07,0.0947
cg02045051,chr8,134784106,ENSG00000279518;ENSG00000289405,1773,Gene body,OpenSea,-0.71,5.92e-07,0.102
cg18321729,chr15,72231987,PKM,-168,Promoter,S_Shore,-0.53,6.77e-07,0.102
cg26807989,chr7,110090598,-,,Intergenic,OpenSea,2.68,8.17e-07,0.103
cg26747885,chr17,78359619,SOCS3;SOCS3-DT,455,Promoter,Island,0.43,1.18e-06,0.127
cg21429492,chr18,46663672,-,,Intergenic,OpenSea,-1.62,2.03e-06,0.175
cg05825555,chr4,25926237,SMIM20,11929,Gene body,OpenSea,2.38,2.08e-06,0.175
cg07805542,chr1,9719250,PIK3CD,401,Promoter,S_Shelf,7.66,2.46e-06,0.186
