MarkerName	Allele1	Allele2	Effect	StdErr	P-value	Direction	HetISq	HetChiSq	HetDf	HetPVal
cg26194560			-0.0530	0.0407	0.193	+-	61.3	2.582	1	0.1081
cg26266618			-0.0214	0.0602	0.7218	+-	42.0	1.725	1	0.189
cg25794979			0.1022	0.0370	0.005793	++	0.0	0.574	1	0.4488
cg09899868			-0.0595	0.0841	0.4796	--	0.0	0.001	1	0.9696
cg02584489			0.0219	0.0431	0.6111	-+	0.0	0.996	1	0.3183
cg03954086			-0.0637	0.0531	0.2308	+-	53.6	2.156	1	0.142
cg00102731			0.0382	0.0477	0.4227	++	0.0	0.349	1	0.5545
cg02310182			-0.0212	0.0368	0.5638	--	0.0	0.040	1	0.841
cg19970200			0.0671	0.0746	0.3686	++	0.0	0.000	1	0.9879
cg12000458			0.0015	0.0415	0.9704	-+	0.0	0.455	1	0.4998
cg13135459			-0.0009	0.0739	0.9901	+-	66.7	3.007	1	0.08289
cg13670306			-0.1606	0.0537	0.002806	--	0.0	0.019	1	0.8891
cg23819144			0.1306	0.0378	0.000547	++	53.7	2.160	1	0.1417
cg06354392			-0.0491	0.0752	0.5141	-+	0.0	0.290	1	0.5903
cg13490403			-0.0066	0.2148	0.9755	-+	6.2	1.066	1	0.3018
cg03362651			-0.0090	0.0367	0.8058	+-	0.0	0.306	1	0.5799
cg23769521			-0.0232	0.0736	0.7522	-+	56.8	2.317	1	0.128
cg23670970			0.0550	0.0705	0.4348	+-	46.9	1.883	1	0.17
cg07335189			0.0713	0.0390	0.06722	++	0.0	0.814	1	0.3668
cg01184600			0.0039	0.0730	0.9576	+-	15.6	1.184	1	0.2765
cg03539789			0.0023	0.0527	0.9651	-+	0.0	0.249	1	0.6175
cg26548847			-0.0390	0.0469	0.4049	--	0.0	0.081	1	0.7754
cg11655017			-0.0139	0.0571	0.8078	+-	0.0	0.303	1	0.5817
cg22007486			0.0269	0.0670	0.6879	++	0.0	0.002	1	0.9661
cg13085976			0.0426	0.0474	0.3696	++	0.0	0.096	1	0.7568
cg01693650			0.0487	0.0643	0.4487	-+	28.8	1.405	1	0.2358
cg23180393			-0.0246	0.0474	0.6034	+-	39.1	1.642	1	0.2
cg05108031			-0.0242	0.0585	0.6793	--	0.0	0.412	1	0.5207
cg02423065			0.1671	0.0712	0.01892	++	0.0	0.017	1	0.8963
cg12703841			0.0136	0.0873	0.8759	+-	0.0	0.521	1	0.4706
cg12532757			-0.0358	0.0345	0.3001	--	0.0	0.775	1	0.3787
cg25875163			0.0590	0.0449	0.1894	++	0.0	0.987	1	0.3205
cg11512797			0.0340	0.0555	0.5397	-+	54.3	2.188	1	0.1391
cg00618626			-0.0730	0.0548	0.1831	--	0.0	0.109	1	0.741
cg10480506			-0.0089	0.0493	0.8564	--	0.0	0.005	1	0.9413
cg00907770			0.0026	0.0449	0.9539	-+	41.6	1.712	1	0.1907
cg17469934			0.0308	0.0466	0.508	++	0.0	0.042	1	0.8385
cg26104428			-0.0125	0.0471	0.7916	+-	68.3	3.150	1	0.07591
cg15435371			0.0237	0.0354	0.5029	-+	5.5	1.059	1	0.3035
cg15232204			-0.0498	0.0353	0.1591	-+	46.5	1.870	1	0.1715
cg01932412			-0.0369	0.0809	0.6482	+-	86.2	7.241	1	0.007128
cg14382708			0.0358	0.0478	0.4545	-+	35.3	1.546	1	0.2138
cg08927016			0.0157	0.0629	0.8028	-+	47.3	1.897	1	0.1685
cg21041580			0.1273	0.0320	7.07e-05	++	42.8	1.749	1	0.186
cg14717988			0.0234	0.0442	0.5961	++	0.0	0.013	1	0.9089
cg07383130			-0.0124	0.0415	0.7658	-+	41.3	1.702	1	0.192
cg19453618			0.0163	0.0388	0.6752	-+	64.8	2.843	1	0.09176
cg23289024			-0.0405	0.0383	0.2906	--	0.0	0.191	1	0.6624
cg27432699			0.0232	0.0866	0.7892	+-	51.7	2.072	1	0.15
cg27414263			-0.0026	0.0357	0.943	+-	25.9	1.349	1	0.2454
cg15553397			0.0325	0.0428	0.4486	++	0.0	0.110	1	0.7404
cg06376701			0.0837	0.0494	0.08996	++	0.0	0.634	1	0.4259
cg06480434			-0.0025	0.0476	0.9587	-+	73.6	3.792	1	0.0515
cg14078101			0.0107	0.0504	0.8318	-+	0.0	0.117	1	0.7328
cg03006338			-0.0954	0.0514	0.06327	--	30.2	1.432	1	0.2314
cg20616246			-0.0045	0.0612	0.9411	-+	47.4	1.899	1	0.1681
cg26107597			-0.0013	0.0538	0.9811	+-	64.6	2.828	1	0.09261
cg14357164			0.1217	0.0636	0.0556	++	0.0	0.034	1	0.8532
cg02241481			0.0519	0.0525	0.3231	+-	58.3	2.397	1	0.1216
cg02367586			0.0728	0.0522	0.1631	++	0.0	0.238	1	0.6256
cg02491358			-0.0108	0.0746	0.8848	-+	0.0	0.376	1	0.5397
cg16181557			0.0400	0.0718	0.5777	++	0.0	0.644	1	0.4222
cg03641745			0.0386	0.0420	0.3584	-+	0.0	0.717	1	0.397
