probe,CpG_beg,CpG_end,genesUniq,transcriptTypes,distTSS,feature,island,BIOS_eQTM_genes,delta_beta,bacon.es,bacon.p
cg07017437,28633493,28633495,ENSG00000271440;ENSG00000287279,processed_pseudogene;lncRNA,101,Promoter,N_Shore,,-0.0219,-0.414,3e-04
cg25653641,28633534,28633536,ENSG00000271440;ENSG00000287279,processed_pseudogene;lncRNA,60,Promoter,N_Shore,,-0.0564,-0.689,1.69e-05
cg22572476,28633546,28633548,ENSG00000271440;ENSG00000287279,processed_pseudogene;lncRNA,48,Promoter,N_Shore,,-0.0562,-0.571,0.000215
cg19488431,28633551,28633553,ENSG00000271440;ENSG00000287279,processed_pseudogene;lncRNA,43,Promoter,N_Shore,,-0.0532,-0.578,3.23e-05
cg27535677,28633587,28633589,ENSG00000271440;ENSG00000287279,processed_pseudogene;lncRNA,7,Promoter,N_Shore,,-0.035,-0.632,0.00145
cg22497095,28633597,28633599,ENSG00000271440;ENSG00000287279,processed_pseudogene;lncRNA,-3,Promoter,N_Shore,,-0.0414,-0.552,0.000745
cg26865747,28633599,28633601,ENSG00000271440;ENSG00000287279,processed_pseudogene;lncRNA,-5,Promoter,N_Shore,,-0.0417,-0.771,0.000208
cg03759229,28633639,28633641,ENSG00000271440;ENSG00000287279,processed_pseudogene;lncRNA,-45,Promoter,N_Shore,,-0.0376,-0.374,0.00232
cg13565129,28633641,28633643,ENSG00000271440;ENSG00000287279,processed_pseudogene;lncRNA,-47,Promoter,N_Shore,,-0.0411,-0.562,0.000389
cg14654363,28633665,28633667,ENSG00000271440;ENSG00000287279,processed_pseudogene;lncRNA,-71,Promoter,N_Shore,,-0.026,-0.535,0.00309
cg00990380,28633699,28633701,ENSG00000271440;ENSG00000287279,processed_pseudogene;lncRNA,-105,Promoter,N_Shore,,-0.0241,-0.392,0.00123
