probe,nearest_gene,eQTM_gene,nearest?,eQTM_FDR,bacon_p
cg12218747,CBR1-AS1;SETD4,CBR1,no,0,7.12e-06
cg26713179,ZNF766,ZNF528;ZNF528-AS1;ZNF880,no,0,1.77e-05
cg08632701,CBR1-AS1;SETD4,CBR1,no,0,5.29e-05
cg09138671,TMCO4,TMCO4,yes,0.000232,6.46e-05
cg19351838,MMP17,MMP17,yes,0,0.000121
cg25535873,HLA-DOA,HLA-DOA,yes,0.0289,0.000346
cg26246807,ZIK1,ZNF154;ZNF772,no,0.00174,0.000376
cg18786374,STRADB;TRAK2,TRAK2,yes,0.00692,0.000428
cg09253696,ENSG00000267801;TRIM47,TRIM47,yes,0,0.000434
cg07088771,TNXB,C4A;C4B;NELFE;SKIC2;TNXA;TNXB;WHR1B,yes,0,0.000585
cg13155648,ANKRD60;PPP4R1L,PPP4R1L,yes,0.000723,0.000685
cg23647554,ZBTB47,ZBTB47,yes,0,0.000693
